경기 일정,지역,비고,시간,3-시간,2-시간,1-시간,0시간,1시간,2시간,누적 강수량
2020-05-08,고척,0,18:30,0,0,0,0,0,0,0
2020-05-09,고척,0,17:00,0,0,0,0,0,0,0
2020-05-10,고척,0,14:00,0,0,0,0,0,0,0
2020-05-12,고척,0,18:30,0,0,0,0,0,0,0
2020-05-13,고척,0,18:30,0,0,0,0,0,0,0
2020-05-14,고척,0,18:30,0,0,0,0,0,0,0
2020-05-19,고척,0,18:30,0,0,0,0,0,0,0
2020-05-20,고척,0,18:30,0,0,0,0,0,0,0
2020-05-21,고척,0,18:30,0,0,0,0,0,0,0
2020-05-22,고척,0,18:30,0,0,0,0,0,0,0
2020-05-23,고척,0,17:00,0,0,0,0,0,0,0
2020-05-24,고척,0,14:00,0,0,0,0,0,0,0
2020-05-29,고척,0,18:30,0,0,0,0,0,0,0
2020-05-30,고척,0,17:00,0,0,0,0,0,0,0
2020-05-31,고척,0,14:00,0,0,0,0,0,0,0
2020-06-05,고척,0,18:30,0,0,0,0,0,0,0
2020-06-06,고척,0,17:00,0,0,0,0,0,0,0
2020-06-07,고척,0,17:00,0,0,0,0,0,0,0
2020-06-16,고척,0,18:30,0,0,0,0,0,0,0
2020-06-17,고척,0,18:30,0,0,0,0,0,0,0
2020-06-18,고척,0,18:30,0,0,0,0,0,0,0
2020-06-19,고척,0,18:30,0,0,0,0,0,0,0
2020-06-20,고척,0,17:00,0,0,0,0,0,0,0
2020-06-21,고척,0,17:00,0,0,0,0,0,0,0
2020-06-26,고척,0,18:30,0,0,0,0,0,0,0
2020-06-27,고척,0,17:00,0,0,0,0,0,0,0
2020-06-28,고척,0,17:00,0,0,0,0,0,0,0
2020-06-30,고척,0,18:30,0,0,0,0,0,0,0
2020-07-01,고척,0,18:30,0,0,0,0,0,0,0
2020-07-02,고척,0,18:30,0,0,0,0,0,0,0
2020-07-07,고척,0,18:30,0,0,0,0,0,0,0
2020-07-08,고척,0,18:30,0,0,0,0,0,0,0
2020-07-09,고척,0,18:30,0,0,0,0,0,0,0
2020-07-14,고척,0,18:30,0,0,0,0,0,0,0
2020-07-15,고척,0,18:30,0,0,0,0,0,0,0
2020-07-16,고척,0,18:30,0,0,0,0,0,0,0
2020-07-24,고척,0,18:30,0,0,0,0,0,0,0
2020-07-25,고척,0,18:00,0,0,0,0,0,0,0
2020-07-26,고척,0,17:00,0,0,0,0,0,0,0
2020-08-04,고척,0,18:30,0,0,0,0,0,0,0
2020-08-05,고척,0,18:30,0,0,0,0,0,0,0
2020-08-06,고척,0,18:30,0,0,0,0,0,0,0
2020-08-07,고척,0,18:30,0,0,0,0,0,0,0
2020-08-08,고척,0,18:00,0,0,0,0,0,0,0
